experiment,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
logistic_rich_548_c1,2023,6792,504,0.625,0.6404397856242119,0.6631014450666308,0.23542497278049349,0.06750418746354321
logistic_rich_548_c1,2024,7296,513,0.6257309941520468,0.6578706807239929,0.6560925415718839,0.23136479070142718,0.04650547938673807
logistic_rich_730_c1,2019,4839,506,0.5652173913043478,0.6139864108587013,0.682910843309096,0.2431905911179295,0.08229540645410764
logistic_rich_730_c1,2020,5345,444,0.6441441441441441,0.6762809429855786,0.651172369326766,0.2283569536899246,0.03523721720502977
logistic_rich_730_c1,2021,5789,497,0.5995975855130785,0.6420161943319838,0.6745637745413015,0.23816779476750904,0.044440763638623246
logistic_rich_730_c1,2022,6286,506,0.5988142292490118,0.6438242651657287,0.6549335663998216,0.23241159549164433,0.041840806704309126
logistic_rich_730_c1,2023,6792,504,0.6190476190476191,0.6419687894073139,0.6621020623122404,0.2349577112101558,0.06271959553447964
logistic_rich_730_c1,2024,7296,513,0.6237816764132553,0.6568803705283686,0.656960606127606,0.23175109256782644,0.04001838197697505
elastic_net_rich548_l1r0.25,2019,4839,506,0.5612648221343873,0.6164141692809737,0.6776802341904391,0.24121257176980754,0.07826287450855074
elastic_net_rich548_l1r0.25,2020,5345,444,0.6486486486486487,0.6831560319752659,0.6462369413443875,0.22651513448756358,0.044354519245772515
elastic_net_rich548_l1r0.25,2021,5789,497,0.5955734406438632,0.6435465587044533,0.6701148255121948,0.23665114484880934,0.04380924965813869
elastic_net_rich548_l1r0.25,2022,6286,506,0.5948616600790514,0.649859287054409,0.6508565873700309,0.23047346616595826,0.03768119601116539
elastic_net_rich548_l1r0.25,2023,6792,504,0.6130952380952381,0.643545081967213,0.659355030717977,0.23384457221917637,0.03780265416952486
elastic_net_rich548_l1r0.25,2024,7296,513,0.631578947368421,0.6603997806082029,0.6546192238851193,0.23089762987276524,0.043106474681051096
elastic_net_rich548_l1r0.5,2019,4839,506,0.5573122529644269,0.6159412293285829,0.6765534628006068,0.24080888706425235,0.0808543995111534
elastic_net_rich548_l1r0.5,2020,5345,444,0.6509009009009009,0.6849256554726115,0.6452714994239874,0.22620534052570856,0.044928111836149524
elastic_net_rich548_l1r0.5,2021,5789,497,0.6036217303822937,0.643919028340081,0.6688845195790433,0.23631047431414157,0.025903807954074792
elastic_net_rich548_l1r0.5,2022,6286,506,0.5988142292490118,0.6515791119449656,0.650313336540417,0.23014816225506707,0.031117802212991673
elastic_net_rich548_l1r0.5,2023,6792,504,0.6051587301587301,0.6467134300126103,0.6572707616059923,0.23290232867985225,0.03725581146302387
elastic_net_rich548_l1r0.5,2024,7296,513,0.6393762183235867,0.6621213967944422,0.6536715007195103,0.2305075234094962,0.04631955537803612
elastic_net_rich548_l1r0.75,2019,4839,506,0.5652173913043478,0.6151214667444389,0.6756530168566169,0.24049532754506203,0.06444116781266374
elastic_net_rich548_l1r0.75,2020,5345,444,0.6531531531531531,0.6845798669731302,0.6452312124722609,0.22626483891049148,0.05865422856772432
elastic_net_rich548_l1r0.75,2021,5789,497,0.5995975855130785,0.6434979757085021,0.668808242995819,0.23640275399977212,0.029108439364514398
elastic_net_rich548_l1r0.75,2022,6286,506,0.5968379446640316,0.6529237023139464,0.6497502736722519,0.22982105940555714,0.034255701739524545
elastic_net_rich548_l1r0.75,2023,6792,504,0.6091269841269841,0.6501812736443884,0.6555842082679714,0.232111182977908,0.024879651856156156
elastic_net_rich548_l1r0.75,2024,7296,513,0.6413255360623782,0.662334694375038,0.6532435689266696,0.2303630924524054,0.04511694738432007
