date,fighter_a,fighter_b,fighter_a_won_saved,Rich Logistic,primary_category,ufc_debutant_or_very_low_experience,large_age_difference,large_reach_difference,large_size_difference,fighter_moving_weight_classes,long_layoff,short_notice,recent_decline,recent_improvement,wrestler_vs_striker,grappler_vs_weak_submission_defense,power_puncher_vs_poor_defense,low_data_fighter,close_50_50_fight,major_upset
2025-11-15,zhang weili,valentina shevchenko,0,0.5247654724146563,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,False,False,False,False,True,False
2025-11-22,belal muhammad,ian machado garry,0,0.6476250814281886,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-11-22,luke riley,bogdan grad,1,0.3453986793109344,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-11-22,myktybek orolbai,jack hermansson,1,0.4305280726027912,large_size_difference,False,False,False,True,True,False,,True,False,False,False,False,False,False,False
2025-11-22,tagir ulanbekov,kyoji horiguchi,0,0.6459756544646788,large_reach_difference,False,False,True,False,False,True,,False,False,False,False,False,False,False,False
2025-12-06,joshua van,alexandre pantoja,1,0.4547928322949827,large_age_difference,False,True,False,False,False,False,,False,False,True,False,False,False,True,False
2025-12-06,grant dawson,manuel torres,0,0.6091493876253767,power_puncher_vs_poor_defense,False,False,False,False,False,False,,False,False,False,False,True,False,False,False
2025-12-06,payton talbott,henry cejudo,1,0.2207501167652274,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,True
2025-12-06,marvin vettori,brunno ferreira,0,0.6379303119089954,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-12-06,merab dvalishvili,petr yan,0,0.712579136820561,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,True
2025-12-06,muhammad naimov,mairon santos,0,0.5157689852534294,fighter_moving_weight_classes,False,False,False,False,True,False,,False,False,True,False,False,False,True,False
2025-12-06,chris duncan,terrance mckinney,1,0.4274191035846724,grappler_vs_weak_submission_defense,False,False,False,False,False,False,,False,False,False,True,False,False,False,False
2025-12-13,cesar almeida,cezary oleksiejczuk,0,0.671309756111065,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-12-13,kevin vallejos,giga chikadze,1,0.3534572239958138,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,True,False,False,False,False,True,False,False
2025-12-13,neil magny,yaroslav amosov,0,0.7389488401227884,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,True
2026-01-24,ty miller,adam fugitt,1,0.4573784595197752,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2026-01-24,jean silva,arnold allen,1,0.141113700564807,large_age_difference,False,True,False,False,False,True,,True,False,False,False,False,False,False,True
2026-01-24,nikita krylov,modestas bukauskas,1,0.495821433038302,recent_decline,False,False,False,False,False,False,,True,True,False,False,False,False,True,False
2026-01-31,benoit saint denis,dan hooker,1,0.4714756232224405,recent_improvement,False,False,False,False,False,False,,False,True,True,False,True,False,True,False
2026-01-31,sebastian szalay,keiichiro nakamura,0,0.5283842145999722,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2026-01-31,sulangrangbo,lawrence lui,0,0.5166729123974978,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2026-02-07,dustin jacoby,julius walker,1,0.3623763592585186,ufc_debutant_or_very_low_experience,True,True,False,False,False,False,,False,False,True,False,True,True,False,False
2026-02-07,rizvan kuniev,jailton almeida,1,0.3966419847821715,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2026-02-07,mario bautista,vinicius oliveira,1,0.330894460167424,other,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
2026-02-07,jakub wiklacz,muin gafurov,1,0.3057137578437478,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2026-02-07,niko price,nikolay veretennikov,0,0.6020114984187674,power_puncher_vs_poor_defense,False,False,False,False,False,False,,False,False,False,False,True,False,False,False
2026-02-21,uros medic,geoff neal,1,0.4081555355301969,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2026-02-21,phil rowe,jean-paul lebosnoyani,0,0.6577820933405126,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2026-02-21,sean strickland,anthony hernandez,1,0.2703932049486646,recent_decline,False,False,False,False,False,False,,True,False,True,False,False,False,False,True
2026-02-28,brandon moreno,lone'er kavanagh,0,0.7225682504532488,major_upset,False,False,False,False,False,False,,False,False,False,False,False,False,False,True
2026-02-28,damian pinas,wes schultz,1,0.4624594578753175,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,True,False
2026-02-28,edgar chairez,felipe bunes,1,0.479507178858309,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2026-02-28,imanol rodriguez,kevin borjas,1,0.4191302846410987,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2026-02-28,regina tarin,ernesta kareckaite,1,0.3979874244981645,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,False,False
2026-03-07,reinier de ridder,caio borralho,0,0.5687634503542199,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2026-03-07,cody durden,nyamjargal tumendemberel,0,0.5891676608475844,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,True,False,False,True,False,True,False,False
2026-03-07,michael johnson,drew dober,0,0.5158552854503538,recent_decline,False,False,False,False,False,False,,True,True,False,False,False,False,True,False
2026-03-07,max holloway,charles oliveira,0,0.5502876722724325,wrestler_vs_striker,False,False,False,False,False,False,,False,False,True,False,False,False,False,False
2026-03-07,alberto montes,ricky turcios,1,0.4366787553308532,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,False,False
