candidate,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
v3_hist_gradient,2021,5789,497,0.5814889336016097,0.6276599190283401,0.6704823581113747,0.23877963467592217,0.05318193778423729
v3_hist_gradient,2022,6286,506,0.6264822134387352,0.658552220137586,0.6547682180660923,0.23127870072247736,0.03886943571931117
v3_hist_gradient,2023,6792,504,0.5912698412698413,0.649077868852459,0.6602363794961577,0.23406568913538178,0.06477315888372043
v3_hist_gradient,2024,7296,513,0.6393762183235867,0.6544122128100432,0.6591690382581991,0.23313539564508498,0.06788675353519895
v3_hist_gradient,2025,7809,515,0.6174757281553398,0.6720690905793816,0.64960068185488,0.2287906892285365,0.039953586157871986
v3_hist_gradient,2026,8324,257,0.5875486381322957,0.6609559809779295,0.6524636088673365,0.23043078196622382,0.04999202060133201
v3_xgboost,2019,4839,506,0.5553359683794467,0.5927041130011194,0.6792656592755704,0.24323842581117922,0.054790464314547455
v3_xgboost,2020,5345,444,0.6418918918918919,0.6896446514655332,0.6413086779979512,0.2249028670260237,0.0344737407054987
v3_xgboost,2021,5789,497,0.5835010060362174,0.6388340080971661,0.6628808075648027,0.23528882531998577,0.04081851447851845
v3_xgboost,2022,6286,506,0.6047430830039525,0.6632426516572859,0.6501721548401497,0.22943076301900667,0.03783964474681807
v3_xgboost,2023,6792,504,0.625,0.6465715636822195,0.6584806111665582,0.23334217615764527,0.043003573304130925
v3_xgboost,2024,7296,513,0.6296296296296297,0.6552806386738984,0.6570199873143882,0.23227035349221994,0.051274021466573096
v3_xgboost,2025,7809,515,0.6194174757281553,0.6734140296793303,0.6481005796691837,0.22835703057878243,0.02121519382717541
v3_xgboost,2026,8324,257,0.6186770428015564,0.6787586879648823,0.641510369763912,0.2253974318169128,0.023663598043909356
v3_lightgbm,2019,4839,506,0.567193675889328,0.5939495215424148,0.6819985305954184,0.24442855844263117,0.058143712530682894
v3_lightgbm,2020,5345,444,0.6621621621621622,0.6883631999674552,0.6395647515796594,0.22408625057706733,0.0717635920085756
v3_lightgbm,2021,5789,497,0.5935613682092555,0.6292631578947369,0.6687573182618598,0.2379402743358021,0.04848580051848221
v3_lightgbm,2022,6286,506,0.6047430830039525,0.6562695434646655,0.6530742971065769,0.23086543884042304,0.04627565738160157
v3_lightgbm,2023,6792,504,0.6031746031746031,0.640108764186633,0.6617016877722545,0.2350068954448003,0.03791974441204432
v3_lightgbm,2024,7296,513,0.6159844054580896,0.6481808763483455,0.6599561148330126,0.23357880318702498,0.057215526271321406
v3_lightgbm,2025,7809,515,0.6504854368932039,0.6782799891195938,0.6460220457449303,0.22725614396990237,0.0673667885740219
v3_lightgbm,2026,8324,257,0.6186770428015564,0.6727838068528229,0.6432803223683652,0.22634261920911947,0.040319245740613074
v3_catboost,2019,4839,506,0.5533596837944664,0.5933662289344663,0.6798331408301852,0.24349822728639506,0.047204061187734105
v3_catboost,2020,5345,444,0.6306306306306306,0.6861460854707809,0.6428852878057273,0.2256615492061246,0.06307340796160602
v3_catboost,2021,5789,497,0.6016096579476862,0.6442591093117409,0.6601394453719548,0.23399180069419773,0.016962198845050486
v3_catboost,2022,6286,506,0.6225296442687747,0.668839899937461,0.6480962980346243,0.2283509415211147,0.03365284938416746
v3_catboost,2023,6792,504,0.6011904761904762,0.6437184741488021,0.6597106799394461,0.23388726800600987,0.04585401756708666
v3_catboost,2024,7296,513,0.6237816764132553,0.6477390456456822,0.6600504158459998,0.23372866228011593,0.05307440552954511
v3_catboost,2025,7809,515,0.6349514563106796,0.6779928672892677,0.6459797809723752,0.22736905786450837,0.04089435819678606
v3_catboost,2026,8324,257,0.6264591439688716,0.6672357029630532,0.6469750394777287,0.22789117925607782,0.05684175287893808
