fighter_id,canonical_name,display_name,alias_name,identity_source
ufcp-5732dffb-1aea-5aa8-bc7c-50b8d29529e5,akira corassani,Akira Corassani,Akira Corassani,UFC-DataLab/UFCStats-derived name
ufcp-bc032f5e-e978-5859-aef0-6d85a11cfd51,akira kikuchi,Akira Kikuchi,Akira Kikuchi,UFC-DataLab/UFCStats-derived name
ufcp-5ced37e2-3bf6-5d98-8f03-751a3ee9971e,akira shoji,Akira Shoji,Akira Shoji,UFC-DataLab/UFCStats-derived name
ufcp-3f57af9d-4af7-5b93-938a-c2fda4f056b4,akitoshi tamura,Akitoshi Tamura,Akitoshi Tamura,UFC-DataLab/UFCStats-derived name
ufcp-2117a8d3-d157-5df8-bc36-fc5ff0303692,akiyo nishiura,Akiyo Nishiura,Akiyo Nishiura,UFC-DataLab/UFCStats-derived name
ufcp-c215cb36-b0de-5aad-b8f4-b48fd32d0ebb,al iaquinta,Al Iaquinta,Al Iaquinta,UFC-DataLab/UFCStats-derived name
ufcp-c215cb36-b0de-5aad-b8f4-b48fd32d0ebb,al iaquinta,Al Iaquinta,AL IAQUINTA,UFC-DataLab/UFCStats-derived name
ufcp-91c7dd82-03ea-5748-995d-a1da0967665c,al matavao,Al Matavao,Al Matavao,UFC-DataLab/UFCStats-derived name
ufcp-9c4d82fa-22b6-5ce8-bcb2-00c0a519d304,alan baudot,Alan Baudot,Alan Baudot,UFC-DataLab/UFCStats-derived name
ufcp-9c4d82fa-22b6-5ce8-bcb2-00c0a519d304,alan baudot,Alan Baudot,ALAN BAUDOT,UFC-DataLab/UFCStats-derived name
ufcp-77766fb3-26f8-528a-ad75-6558bee322af,alan belcher,Alan Belcher,ALAN BELCHER,UFC-DataLab/UFCStats-derived name
ufcp-77766fb3-26f8-528a-ad75-6558bee322af,alan belcher,Alan Belcher,Alan Belcher,UFC-DataLab/UFCStats-derived name
ufcp-612546f0-00bf-5943-9c0b-da32ab0e175e,alan gomez,Alan Gomez,Alan Gomez,UFC-DataLab/UFCStats-derived name
ufcp-6e15ce70-8970-5163-afbe-5bac77f5e184,alan hiro,Alan Hiro,Alan Hiro,UFC-DataLab/UFCStats-derived name
ufcp-349db8c0-3be0-5ef6-93d4-deef8d049846,alan jouban,Alan Jouban,Alan Jouban,UFC-DataLab/UFCStats-derived name
ufcp-349db8c0-3be0-5ef6-93d4-deef8d049846,alan jouban,Alan Jouban,ALAN JOUBAN,UFC-DataLab/UFCStats-derived name
ufcp-e8b23af3-4b8f-531a-a084-6f8d3b9f0729,alan omer,Alan Omer,ALAN OMER,UFC-DataLab/UFCStats-derived name
ufcp-e8b23af3-4b8f-531a-a084-6f8d3b9f0729,alan omer,Alan Omer,Alan Omer,UFC-DataLab/UFCStats-derived name
ufcp-f0427500-1fe8-5c85-aa71-68cf54952090,alan patrick,Alan Patrick,ALAN PATRICK,UFC-DataLab/UFCStats-derived name
ufcp-f0427500-1fe8-5c85-aa71-68cf54952090,alan patrick,Alan Patrick,Alan Patrick,UFC-DataLab/UFCStats-derived name
ufcp-68dfae2c-43d8-57ad-91fd-06ab164778db,alatengheili,Alatengheili,ALATENGHEILI,UFC-DataLab/UFCStats-derived name
ufcp-b633c733-854d-5097-abea-e64731e8d991,alavutdin gadjiev,Alavutdin Gadjiev,Alavutdin Gadjiev,UFC-DataLab/UFCStats-derived name
ufcp-c755ffba-ba19-5706-9b86-c94433b1f577,albert cheng,Albert Cheng,Albert Cheng,UFC-DataLab/UFCStats-derived name
ufcp-c755ffba-ba19-5706-9b86-c94433b1f577,albert cheng,Albert Cheng,ALBERT CHENG,UFC-DataLab/UFCStats-derived name
ufcp-fc9b4f2f-7363-5059-a044-b0ca1b16ee90,albert duraev,Albert Duraev,ALBERT DURAEV,UFC-DataLab/UFCStats-derived name
ufcp-e03f0a76-b00a-5831-8673-02b721a3361f,albert morales,Albert Morales,Albert Morales,UFC-DataLab/UFCStats-derived name
ufcp-e03f0a76-b00a-5831-8673-02b721a3361f,albert morales,Albert Morales,ALBERT MORALES,UFC-DataLab/UFCStats-derived name
ufcp-ae51ffbe-69c2-5b7b-9ede-1e703a1430d1,albert rios,Albert Rios,Albert Rios,UFC-DataLab/UFCStats-derived name
ufcp-23a3f222-4a73-53e0-a1b4-f80401e099ca,albert tumenov,Albert Tumenov,ALBERT TUMENOV,UFC-DataLab/UFCStats-derived name
ufcp-23a3f222-4a73-53e0-a1b4-f80401e099ca,albert tumenov,Albert Tumenov,Albert Tumenov,UFC-DataLab/UFCStats-derived name
ufcp-2a10f41a-9de5-5c47-8955-c82f383d1bbe,alberta cerra leon,Alberta Cerra Leon,ALBERTA CERRA LEON,UFC-DataLab/UFCStats-derived name
ufcp-2a10f41a-9de5-5c47-8955-c82f383d1bbe,alberta cerra leon,Alberta Cerra Leon,Alberta Cerra Leon,UFC-DataLab/UFCStats-derived name
ufcp-8ae1315c-bcba-5846-91c6-81fc822d1de5,alberto crane,Alberto Crane,Alberto Crane,UFC-DataLab/UFCStats-derived name
ufcp-8ae1315c-bcba-5846-91c6-81fc822d1de5,alberto crane,Alberto Crane,ALBERTO CRANE,UFC-DataLab/UFCStats-derived name
ufcp-7bf0a5e0-ae12-5a56-87c5-3efa9a97fdd9,alberto mina,Alberto Mina,ALBERTO MINA,UFC-DataLab/UFCStats-derived name
